cycle_index,filename,ambient_temperature,t0_s,n_tail_points,T_first_tail,T_last_tail,T0_fit,tau_curvefit,tau_stderr,tau_loglinear,rel_diff_pct,rmse_K,capacity_Ah,flag,tau_fixedwindow,tail_duration_s,sampling_dt_median_s,window_over_tau,tau_inf,tau_inf_stderr,scan_n_points,scan_too_short,tau1,tau1_stderr,tau2,tau2_stderr,A1,A1_stderr,A2,A2_stderr
1,05122.csv,24.0,3346.937,17,38.98218133148803,34.230852841540965,39.48055898600611,833.883294848192,5.94625197089496,830.8252940180284,0.3667180826209346,0.0407319436371403,1.8564874208181577,,943.9299245648076,343.297,20.25,0.4116847071058032,827.283383276807,1.557682224413788,11.0,,,,,,,,,
2,05124.csv,24.0,3328.828,17,39.033397966787035,34.3921365871887,39.51740664624753,860.9580851137638,6.286578488149649,857.9356521052423,0.3510546054192772,0.0407900933565698,1.846327249719927,,988.862119427508,343.5160000000001,20.266000000000076,0.3989927104925313,852.810691888267,2.339506134820112,11.0,,,,,,,,,
3,05126.csv,24.0,3309.422,17,38.81879668981741,34.23277871576327,39.295237911586014,853.7016886207565,5.96738751795652,850.9832376999987,0.3184310113231455,0.0386298481967742,1.8353491942234077,,969.8415071028844,342.21900000000005,20.226499999999987,0.4008648507570487,845.3965786124851,2.894542899472682,11.0,,,,,,,,,
4,05128.csv,24.0,3309.719,16,38.7623045063458,34.413449952605504,39.23557731859605,852.3120305225871,6.856951342345026,848.8512958449518,0.4060408106070461,0.0407852438781103,1.8352625275821128,,965.2788960570438,321.84400000000005,20.233999999999924,0.3776128794083364,841.1420329851728,4.024544622366338,10.0,,,,,,,,,
5,05130.csv,24.0,3307.688,16,38.66539257343368,34.34588498997869,39.1372953867871,851.8405345602498,6.917288395437669,848.3204877005171,0.4132283821818686,0.0408693318717057,1.834645508212042,,970.9678742533606,321.4839999999999,20.188000000000105,0.3773992748137553,841.5795561100957,5.490648697933664,10.0,,,,,,,,,
6,05132.csv,24.0,3309.25,17,38.75169504640032,34.20092692100587,39.22238311586504,861.9407016283063,6.1439773878197785,858.830122218811,0.3608809055679945,0.0390042158439564,1.8356616600675495,,981.3603318999124,343.03099999999995,20.234500000000025,0.3979751731783572,852.2201435696128,2.47521438283638,11.0,,,,,,,,,
7,05134.csv,24.0,3308.422,17,38.8207012322275,34.298284762513184,39.28791721000648,869.7688553738884,6.233801061503889,867.0241933830604,0.3155622294210782,0.0390668334828343,1.8351461429226603,,995.4207331314656,342.40599999999995,20.25800000000004,0.3936747078082136,863.7248488419239,2.471089100447703,11.0,,,,,,,,,
8,05136.csv,24.0,3291.484,14,38.51713023385634,34.76224183630716,38.94830499856984,861.8683247643936,6.492744878725712,859.3269420150565,0.2948690277058096,0.0307081730704098,1.8257567905665535,,944.2174562313774,280.96900000000005,20.092999999999847,0.3259999142871478,,,,,,,,,,,,
9,05138.csv,24.0,3289.891,13,38.526267904657,35.05182952791622,38.96911779456315,865.7902345870821,9.180766466064709,862.4475863286196,0.3860806145563208,0.0387887040636175,1.8247738529891333,,969.8422622651284,260.703,20.03150000000005,0.3011156624148527,,,,,,,,,,,,
10,05140.csv,24.0,3290.188,13,38.52698128472781,35.02973666184703,38.976642577045766,861.8714234622893,9.399686017793204,858.1928145804089,0.4268164347650275,0.0400908496711548,1.824613268496936,,965.8208434696942,261.0619999999999,20.109500000000025,0.3029013294712428,,,,,,,,,,,,
11,05142.csv,24.0,3290.234,12,38.54143406601644,35.32247968803144,38.98284920091892,867.3695690413642,11.110521211247502,863.2890002503789,0.4704533034857664,0.041584602433312,1.8246195526864504,,970.7639095999576,240.01600000000008,20.063000000000105,0.276717109484566,,,,,,,,,,,,
12,05145.csv,24.0,3271.016,11,38.52197451768004,35.59296016104038,38.93897512886049,878.0789317031796,10.8688897923907,874.6998193418133,0.3848301376291949,0.0348368714004047,1.8142019357673915,,967.0030608926652,220.0,19.96900000000005,0.2505469520527881,,,,,,,,,,,,
13,05147.csv,24.0,3270.813,10,38.582485834057856,35.96127245490519,38.99743861357575,890.3505077177108,14.201917796007272,886.6435743042302,0.4163454034504638,0.0384810181958765,1.8137521577549056,,984.5193642488304,199.46799999999985,19.922000000000025,0.2240331175991669,,,,,,,,,,,,
14,05149.csv,24.0,3270.312,10,38.520294134873915,35.86960969538033,38.949930816718016,879.9336285094853,15.427762608859164,875.65411062085,0.4863455322061416,0.0426366999612126,1.8134404914735824,,980.544135251748,199.6880000000001,19.985000000000127,0.2269352977658673,,,,,,,,,,,,
15,05151.csv,24.0,3251.063,10,38.21358592965045,35.53204380823203,38.6234392345905,848.0430939903032,10.65651183877925,845.135619668436,0.3428451151210534,0.0308124346647145,1.8025980036306504,,914.2247681919268,199.23399999999992,19.985000000000127,0.2349338157599312,,,,,,,,,,,,
16,05153.csv,24.0,3249.985,9,38.1983618706913,35.810312891427124,38.59851156296812,858.6039868618044,13.49842015968909,855.316478210899,0.3828899820185075,0.032390428171669,1.80210690024615,,915.186705016238,179.42200000000005,19.9375,0.2089694466197239,,,,,,,,,,,,
17,05155.csv,24.0,3250.438,8,38.31926916027133,36.242477152162465,38.72024490734395,877.3258885903807,19.00808709335344,873.6020628479718,0.4244518246682675,0.036600703765176,1.802579500826209,,944.6986513456068,159.04599999999982,19.842999999999847,0.1812849729711528,,,,,,,,,,,,
18,05157.csv,24.0,3251.094,7,,,,,,,,,1.8030683142834096,insufficient_tail,,139.32799999999995,19.859500000000025,,,,,,,,,,,,,
19,05159.csv,24.0,3250.766,7,,,,,,,,,1.802777624719604,insufficient_tail,,139.51499999999987,19.898500000000013,,,,,,,,,,,,,
20,05162.csv,24.0,3330.046,13,38.44749852224995,34.93481911198889,38.85687646425527,859.0507749235339,5.958932569283641,856.9515348161033,0.2443674074582515,0.0254426358939301,1.8470259949329193,,923.8141000578722,261.6880000000001,20.211000000000013,0.3046246015240409,,,,,,,,,,,,
21,05166.csv,24.0,3331.172,11,38.992275791716615,36.06881902912957,39.38351621595653,918.8515335069382,8.614187683087229,916.2359364892592,0.2846593733914796,0.0262577373678341,1.847417311283644,,981.5966661669902,221.125,20.07050000000004,0.2406536768307307,,,,,,,,,,,,
22,05170.csv,24.0,3311.344,11,38.51424197364312,35.57131957324699,38.90501097031227,879.54147782273,8.185839466513077,876.8282464091901,0.3084824856988453,0.0261219440205042,1.8361774213478947,,946.0802339033552,220.23399999999992,20.03150000000005,0.250396377604818,,,,,,,,,,,,
23,05174.csv,24.0,3292.532,10,38.165816144899125,35.495530791461825,38.55822712440884,852.5059945001559,8.487791739581615,850.3471897165698,0.2532304520453095,0.024289355437957,1.825780747577624,,904.081185794718,200.375,20.03099999999995,0.2350423355292469,,,,,,,,,,,,
24,05178.csv,24.0,3291.172,11,38.16526203587147,35.20943493671208,38.5716384591017,848.1172597386909,8.670524271966904,845.3558437638691,0.3255936538389321,0.028955510272133,1.8251136435078368,,914.007918977589,220.42200000000005,20.0625,0.2598956659223196,,,,,,,,,,,,
25,05182.csv,24.0,3292.187000000006,7,,,,,,,,,1.825581504220376,insufficient_tail,,139.75,19.984500000005937,,,,,,,,,,,,,
26,05186.csv,24.0,3271.344,8,37.982160799183106,35.875137593603206,38.3655531546617,848.3425806032647,12.84659141692175,845.8158902164515,0.297838449299147,0.0258624691482822,1.814031127508391,,889.5503021624476,159.78099999999995,20.0,0.1883449017569979,,,,,,,,,,,,
27,05190.csv,24.0,3272.672,7,,,,,,,,,1.814769194115894,insufficient_tail,,139.73399999999992,19.96849999999995,,,,,,,,,,,,,
28,05194.csv,24.0,3270.922,7,,,,,,,,,1.813969388710352,insufficient_tail,,139.76600000000008,19.94550000000004,,,,,,,,,,,,,
29,05198.csv,24.0,3250.922,8,37.99854111908584,35.87417260042261,38.392156771491074,840.6054091185739,14.150308895216392,837.7899038566914,0.3349377997501561,0.0290279599593806,1.802765665167823,,887.3109338122566,159.79599999999982,19.985000000000127,0.1900963261318478,,,,,,,,,,,,
