Cycle,Start Time,End Time,Chg_Cap,DChg_Cap,Avg_Temp,Cell_ID,Model,Chg_Rate,DChg_Rate,V_upper,V_lower,Channel
1,2026/05/03 09:12,2026/05/03 16:38,279.60,279.35,25.3,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
2,2026/05/03 17:44,2026/05/04 01:18,279.48,279.31,25.1,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
3,2026/05/04 02:21,2026/05/04 09:47,279.57,279.21,24.7,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
4,2026/05/04 10:42,2026/05/04 18:14,279.53,279.30,24.8,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
5,2026/05/04 19:12,2026/05/05 02:46,279.42,279.15,25.6,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
6,2026/05/05 03:43,2026/05/05 11:17,279.49,279.20,24.6,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
7,2026/05/05 12:27,2026/05/05 19:53,279.23,279.05,25.1,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
8,2026/05/05 20:54,2026/05/06 04:19,279.34,278.94,24.3,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
9,2026/05/06 05:18,2026/05/06 12:53,279.24,278.93,25.1,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
10,2026/05/06 13:50,2026/05/06 21:22,279.14,278.84,24.6,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
11,2026/05/06 22:17,2026/05/07 05:44,279.02,278.74,24.9,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
12,2026/05/07 06:40,2026/05/07 14:08,279.00,278.68,24.5,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
13,2026/05/07 15:14,2026/05/07 22:45,278.99,278.77,25.5,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
14,2026/05/07 23:43,2026/05/08 07:08,279.07,278.71,24.7,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
15,2026/05/08 08:06,2026/05/08 15:40,278.88,278.65,24.5,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
16,2026/05/08 16:37,2026/05/09 00:08,278.82,278.50,24.8,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
17,2026/05/09 01:11,2026/05/09 08:40,278.76,278.48,25.3,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
18,2026/05/09 09:42,2026/05/09 17:11,278.55,278.41,25.7,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
19,2026/05/09 18:06,2026/05/10 01:39,278.67,278.43,25.3,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
20,2026/05/10 02:35,2026/05/10 10:04,278.65,278.38,25.1,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
21,2026/05/10 11:14,2026/05/10 18:49,278.45,278.16,24.6,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
22,2026/05/10 19:47,2026/05/11 03:22,278.55,278.20,25.2,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
23,2026/05/11 04:32,2026/05/11 12:07,278.47,278.13,25.8,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
24,2026/05/11 13:08,2026/05/11 20:43,278.24,278.08,24.7,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
25,2026/05/11 21:41,2026/05/12 05:09,278.34,277.95,24.7,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
26,2026/05/12 06:13,2026/05/12 13:48,278.25,277.99,25.0,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
27,2026/05/12 14:49,2026/05/12 22:25,278.00,277.82,25.3,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
28,2026/05/12 23:35,2026/05/13 07:03,278.23,277.83,25.1,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
29,2026/05/13 08:01,2026/05/13 15:34,277.97,277.73,26.0,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
30,2026/05/13 16:32,2026/05/13 23:57,278.07,277.71,24.5,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
31,2026/05/14 01:03,2026/05/14 08:37,277.93,277.69,25.3,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
32,2026/05/14 09:45,2026/05/14 17:12,277.70,277.52,25.2,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
33,2026/05/14 18:07,2026/05/15 01:39,277.87,277.54,24.7,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
34,2026/05/15 02:47,2026/05/15 10:22,277.56,277.42,25.0,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
35,2026/05/15 11:30,2026/05/15 18:58,277.82,277.42,25.1,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
36,2026/05/15 20:07,2026/05/16 03:42,277.52,277.34,25.0,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
37,2026/05/16 04:44,2026/05/16 12:19,277.66,277.34,25.4,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
38,2026/05/16 13:25,2026/05/16 20:58,277.59,277.25,24.7,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
39,2026/05/16 22:04,2026/05/17 05:37,277.31,277.12,24.9,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
40,2026/05/17 06:32,2026/05/17 13:57,277.56,277.20,25.1,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
41,2026/05/17 14:54,2026/05/17 22:18,277.22,276.99,25.3,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
42,2026/05/17 23:13,2026/05/18 06:44,277.08,276.93,24.9,LFP280-A1,LFP-280,0.33C,0.33C,3.65,2.50,CH-03
